date,n_samples,dose_eq60_median_uSv_min,phi_MV,H_model_mSv_day,H_iss_mSv_day
2010-05-01,5571,0.25,448.8,6.8346163471169135,0.36
2010-06-01,7151,0.272,454.3,6.7114606612523335,0.39168000000000003
2010-10-01,5806,0.215,472.5,6.322490124509143,0.30960000000000004
2010-11-01,7142,0.233,484.4,6.082361281715415,0.33552000000000004
2010-12-01,7200,0.238,493.7,5.901839400243995,0.34271999999999997
2011-01-01,1875,0.227,478.8,6.19404192019547,0.32688
2011-02-01,6765,0.244,476.6,6.23855307422951,0.35136
2011-03-01,6846,0.2735,509.1,5.630588108036067,0.39384
2011-04-01,7149,0.215,560.7,4.8625214950283455,0.30960000000000004
2011-05-01,7166,0.22,525.6,5.367144560935449,0.3168
2011-06-01,7151,0.216,592.1,4.473686637516355,0.31104000000000004
2011-07-01,7200,0.213,566.2,4.791473490587761,0.30672
2011-08-01,2642,0.2355,559.5,4.878199698578797,0.33912
2011-09-01,7041,0.247,562.5,4.839123825163056,0.35568
2011-10-01,7200,0.207,583.7,4.573853102620079,0.29808
2011-11-01,3073,0.285,548.1,5.031788851161323,0.4104
2011-12-01,7173,0.28,510.9,5.601070533946611,0.40320000000000006
2012-01-01,2465,0.23,534.7,5.228368261409418,0.3312
2012-02-01,7200,0.203,570.4,4.738095457806954,0.29231999999999997
2012-03-01,7200,0.244,648.5,3.900026581972319,0.35136
2012-04-01,7150,0.217,557.3,4.907110521176181,0.31248000000000004
2012-05-01,7153,0.217,552.8,4.966932041532287,0.31248000000000004
2012-06-01,7075,0.208,587.9,4.523436402088413,0.29952
2012-07-01,7064,0.216,661.6,3.7815319061632784,0.31104000000000004
2012-08-01,6864,0.204,649.6,3.8899027704209996,0.29375999999999997
2012-09-01,4269,0.208,609.8,4.278489613720398,0.29952
2012-10-01,7124,0.217,612.3,4.252639622265377,0.31248000000000004
2012-11-01,7151,0.214,607.5,4.302455792513004,0.30816
2012-12-01,7200,0.2015,594.2,4.449056861237489,0.29016000000000003
2013-01-01,7100,0.208,573.6,4.697923269907548,0.29952
2013-02-01,7200,0.21,568.6,4.760880231440039,0.3024
