date,n_samples,dose_eq60_median_uSv_min
2010-05-01,5571,0.25
2010-06-01,7151,0.272
2010-10-01,5806,0.215
2010-11-01,7142,0.233
2010-12-01,7200,0.238
2011-01-01,1875,0.227
2011-02-01,6765,0.244
2011-03-01,6846,0.2735
2011-04-01,7149,0.215
2011-05-01,7166,0.22
2011-06-01,7151,0.216
2011-07-01,7200,0.213
2011-08-01,2642,0.2355
2011-09-01,7041,0.247
2011-10-01,7200,0.207
2011-11-01,3073,0.285
2011-12-01,7173,0.28
2012-01-01,2465,0.23
2012-02-01,7200,0.203
2012-03-01,7200,0.244
2012-04-01,7150,0.217
2012-05-01,7153,0.217
2012-06-01,7075,0.208
2012-07-01,7064,0.216
2012-08-01,6864,0.204
2012-09-01,4269,0.208
2012-10-01,7124,0.217
2012-11-01,7151,0.214
2012-12-01,7200,0.2015
2013-01-01,7100,0.208
2013-02-01,7200,0.21
2013-03-01,7200,0.2165
2013-04-01,6607,0.213
2013-05-01,7200,0.211
2013-06-01,2162,0.221
2013-07-01,2640,0.206
2013-08-01,7200,0.215
2013-09-01,7006,0.203
2013-10-01,7163,0.21
2013-11-01,7200,0.2105
2013-12-01,7074,0.206
2014-01-01,502685,0.203
2014-02-01,462500,0.203
2014-03-01,432469,0.203
2014-04-01,388383,0.204
2014-05-01,345632,0.205
2014-06-01,301233,0.205
2014-07-01,258501,0.205
2014-08-01,214254,0.205
2014-09-01,170198,0.204
2014-10-01,127349,0.203
2014-11-01,83025,0.202
2014-12-01,40123,0.2
2015-01-01,7147,0.195
2015-02-01,7094,0.192
2015-03-01,7163,0.197
2015-04-01,7158,0.196
2015-05-01,7200,0.196
2015-06-01,7050,0.201
2015-07-01,7113,0.207
2015-08-01,7145,0.208
2015-09-01,7154,0.208
2015-10-01,961,0.189
2015-11-01,7098,0.2115
2015-12-01,7095,0.207
2016-01-01,7191,0.209
2016-02-01,7157,0.214
2016-03-01,7163,0.21
2016-04-01,7200,0.211
2016-05-01,4764,0.21
2016-06-01,7132,0.219
2016-07-01,7043,0.218
2016-08-01,7163,0.217
2016-09-01,7200,0.219
2016-10-01,7088,0.218
2016-11-01,6018,0.225
2016-12-01,5895,0.226
2017-01-01,6632,0.0
2017-02-01,5256,0.232
2017-03-01,7145,0.227
2017-05-01,7089,0.227
2017-06-01,7099,0.235
2017-07-01,7172,0.233
2017-08-01,7155,0.228
2017-09-01,7200,0.231
2017-10-01,7062,0.229
2017-11-01,7082,0.227
2017-12-01,7200,0.232
2018-01-01,7160,0.231
2018-02-01,3693,0.23
2018-03-01,7200,0.231
2018-04-01,7079,0.23
