date,count_rate
2011-11-20,107.513
2011-11-21,107.397
2011-11-22,106.555
2011-11-23,107.217
2011-11-24,106.952
2011-11-25,107.421
2011-11-26,108.007
2011-11-27,107.717
2011-11-28,108.277
2011-11-29,106.39
2011-11-30,105.905
2011-12-01,107.805
2011-12-02,107.888
2011-12-03,107.511
2011-12-04,107.989
2011-12-05,108.186
2011-12-06,107.774
2011-12-07,107.637
2011-12-08,107.585
2011-12-09,107.741
2011-12-10,108.118
2011-12-11,107.248
2011-12-12,107.223
2011-12-13,107.735
2011-12-14,108.687
2011-12-15,109.163
2011-12-16,109.644
2011-12-17,109.498
2011-12-18,109.022
2011-12-19,108.608
2011-12-20,108.626
2011-12-21,108.07
2011-12-22,107.886
2011-12-23,107.342
2011-12-24,108.14
2011-12-25,108.205
2011-12-26,108.34
2011-12-27,108.732
2011-12-28,108.207
2011-12-29,107.892
2011-12-30,107.506
2011-12-31,107.168
2012-01-01,107.188
2012-01-02,106.711
2012-01-03,106.55
2012-01-04,106.667
2012-01-05,107.301
2012-01-06,107.734
2012-01-07,107.931
2012-01-08,107.974
2012-01-09,108.001
2012-01-10,107.581
2012-01-11,108.042
2012-01-12,108.047
2012-01-13,107.567
2012-01-14,107.722
2012-01-15,107.536
2012-01-16,107.479
2012-01-17,107.188
2012-01-18,107.72
2012-01-19,107.981
2012-01-20,107.86
2012-01-21,107.423
2012-01-22,106.592
2012-01-23,104.895
2012-01-24,105.181
2012-01-25,103.295
2012-01-26,103.815
2012-01-27,104.472
2012-01-28,104.796
2012-01-29,104.619
2012-01-30,104.828
2012-01-31,103.194
2012-02-01,101.575
2012-02-02,102.797
2012-02-03,104.581
2012-02-04,105.872
2012-02-05,105.974
2012-02-06,105.483
2012-02-07,105.805
2012-02-08,106.076
2012-02-09,105.983
2012-02-10,105.61
2012-02-11,105.675
2012-02-12,105.599
2012-02-13,106.027
2012-02-14,105.428
2012-02-15,104.139
2012-02-16,104.517
2012-02-17,104.833
2012-02-18,105.467
2012-02-19,105.858
2012-02-20,105.994
2012-02-21,106.581
2012-02-22,107.237
2012-02-23,107.07
2012-02-24,107.055
2012-02-25,106.894
2012-02-26,106.781
2012-02-27,104.453
2012-02-28,102.997
2012-02-29,103.175
2012-03-01,104.012
2012-03-02,104.857
2012-03-03,105.616
2012-03-04,105.166
2012-03-05,105.538
2012-03-06,105.217
2012-03-07,105.178
2012-03-16,100.065
2012-03-17,101.455
2012-03-18,102.778
2012-03-19,103.089
2012-03-20,103.927
2012-03-21,104.366
2012-03-22,104.766
2012-03-23,105.562
2012-03-24,105.655
2012-03-25,105.565
2012-03-26,105.365
2012-03-27,105.811
2012-03-28,105.188
2012-03-29,105.471
2012-03-30,105.797
2012-03-31,105.405
2012-04-01,105.862
2012-04-02,105.667
2012-04-03,105.777
2012-04-04,105.966
2012-04-05,105.225
2012-04-06,103.382
2012-04-07,104.74
2012-04-08,105.005
2012-04-09,104.888
2012-04-10,105.148
2012-04-11,105.198
2012-04-12,105.627
2012-04-13,106.307
2012-04-14,106.584
2012-04-15,107.391
2012-04-16,107.606
2012-04-17,107.751
2012-04-18,107.798
2012-04-19,108.233
2012-04-20,108.252
2012-04-21,107.178
2012-04-22,107.03
2012-04-23,106.749
2012-04-24,106.59
2012-04-25,105.626
2012-04-26,104.634
2012-04-27,105.259
2012-04-28,105.704
2012-04-29,106.192
2012-04-30,106.81
2012-05-01,107.215
2012-05-02,107.432
2012-05-03,108.01
2012-05-04,106.526
2012-05-05,106.537
2012-05-06,107.016
2012-05-07,107.199
2012-05-08,106.927
2012-05-09,106.537
2012-05-10,106.694
2012-05-11,107.072
2012-05-12,107.188
2012-05-13,106.323
2012-05-14,106.302
2012-05-15,106.188
2012-05-16,106.589
2012-05-17,107.274
2012-05-18,105.857
2012-05-19,105.863
2012-05-20,106.025
2012-05-21,105.788
2012-05-22,105.777
2012-05-23,105.804
2012-05-24,105.745
2012-05-25,105.703
2012-05-26,106.325
2012-05-27,106.56
2012-05-28,106.833
2012-05-29,106.814
2012-05-30,106.333
2012-05-31,104.098
2012-06-01,104.403
2012-06-02,104.557
2012-06-03,104.661
2012-06-04,104.437
2012-06-05,104.604
2012-06-06,104.183
2012-06-07,104.315
2012-06-08,104.383
2012-06-09,104.349
2012-06-10,104.302
2012-06-11,104.624
2012-06-12,105.964
2012-06-13,106.112
2012-06-14,105.864
2012-06-15,106.065
2012-06-16,105.477
2012-06-17,102.462
2012-06-18,103.392
2012-06-19,104.323
2012-06-20,104.996
2012-06-21,104.818
2012-06-22,105.26
2012-06-23,105.629
2012-06-24,106.091
2012-06-25,105.94
2012-06-26,105.887
2012-06-27,105.927
2012-06-28,105.918
2012-06-29,105.977
2012-06-30,105.612
2012-07-01,105.244
2012-07-02,105.062
2012-07-03,105.242
2012-07-04,104.462
2012-07-05,102.051
2012-07-06,103.036
2012-07-07,103.034
2012-07-08,102.501
2012-07-09,101.752
2012-07-10,103.28
2012-07-11,103.731
2012-07-12,103.914
2012-07-13,104.061
2012-07-14,103.68
2012-07-17,100.923
2012-07-18,101.583
2012-07-19,101.145
