date,count_rate
1995-01-01,106.05
1995-02-01,106.363
1995-03-01,105.835
1995-04-01,106.27
1995-05-01,106.589
1995-06-01,106.64
1995-07-01,106.715
1995-08-01,106.86
1995-09-01,106.644
1995-10-01,106.187
1995-11-01,106.3
1995-12-01,107.09
1996-01-01,107.211
1996-02-01,107.621
1996-03-01,108.528
1996-04-01,108.893
1996-05-01,108.895
1996-06-01,108.986
1996-07-01,109.032
1996-08-01,108.652
1996-09-01,108.568
1996-10-01,108.071
1996-11-01,107.951
1996-12-01,108.142
1997-01-01,108.883
1997-02-01,109.198
1997-03-01,109.315
1997-04-01,109.049
1997-05-01,109.309
1997-06-01,109.162
1997-07-01,109.117
1997-08-01,109.66
1997-09-01,109.576
1997-10-01,108.973
1997-11-01,108.153
1997-12-01,108.64
1998-01-01,108.772
1998-02-01,108.949
1998-03-01,109.055
1998-04-01,106.499
1998-05-01,104.672
1998-06-01,105.134
1998-07-01,106.371
1998-08-01,104.999
1998-09-01,106.336
1998-10-01,107.23
1998-11-01,106.427
1998-12-01,105.629
1999-01-01,104.162
1999-02-01,104.143
1999-03-01,104.398
1999-04-01,105.229
1999-05-01,104.863
1999-06-01,105.695
1999-07-01,106.439
1999-08-01,104.057
1999-09-01,102.013
1999-10-01,101.06
1999-11-01,100.666
2000-01-01,100.23
2001-03-01,100.41
2004-03-01,100.713
2004-04-01,101.765
2004-05-01,102.769
2004-06-01,102.725
2004-07-01,101.288
2004-08-01,101.903
2004-09-01,102.559
2004-10-01,104.94
2004-11-01,102.26
2004-12-01,103.033
2005-02-01,102.241
2005-03-01,102.986
2005-04-01,103.887
2005-05-01,101.537
2005-06-01,103.453
2005-07-01,102.774
2005-08-01,101.906
2005-10-01,103.887
2005-11-01,105.116
2005-12-01,105.084
2006-01-01,105.503
2006-02-01,106.746
2006-03-01,107.981
2006-04-01,108.132
2006-05-01,108.592
2006-06-01,108.536
2006-07-01,108.243
2006-08-01,108.321
2006-09-01,108.244
2006-10-01,109.113
2006-11-01,108.811
2006-12-01,107.426
2007-01-01,109.637
2007-02-01,109.186
2007-03-01,109.816
2007-04-01,110.849
2007-05-01,110.852
2007-06-01,110.918
2007-07-01,110.758
2007-08-01,110.631
2007-09-01,110.87
2007-10-01,110.944
2007-11-01,110.793
2007-12-01,111.189
2008-01-01,110.767
2008-02-01,110.498
2008-03-01,110.515
2008-04-01,110.668
2008-05-01,110.521
2008-06-01,110.598
2008-07-01,110.864
2008-08-01,110.935
2008-09-01,111.322
2008-10-01,111.647
2008-11-01,112.075
2008-12-01,112.048
2009-01-01,112.306
2009-02-01,112.282
2009-03-01,113.0
2009-04-01,113.652
2009-05-01,113.774
2009-06-01,113.572
2009-07-01,113.422
2009-08-01,113.399
2009-09-01,113.65
2009-10-01,113.975
2009-11-01,113.906
2009-12-01,114.065
2010-01-01,113.515
2010-02-01,111.959
2010-03-01,110.928
2010-04-01,110.008
2010-05-01,110.498
2010-06-01,110.168
2010-07-01,109.998
2010-08-01,109.635
2010-09-01,109.634
2010-10-01,110.068
2010-11-01,109.585
2010-12-01,108.897
2011-01-01,109.301
2011-02-01,108.827
2011-03-01,108.472
2011-04-01,106.409
2011-05-01,107.649
2011-06-01,104.878
2011-07-01,105.79
2011-08-01,106.051
2011-09-01,105.929
