day,date,n_obs_B,n_obs_E,dose_rate_B_uGyhr,dose_rate_E_uGyhr,source
0,2011-12-06,36,36,14.03612,16.59727,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
1,2011-12-07,44,44,14.67518,17.71595,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
2,2011-12-08,168,168,14.49343,17.66141,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
3,2011-12-09,134,134,14.62693,17.75402,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
4,2011-12-10,167,167,14.81166,18.028,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
5,2011-12-11,168,168,14.91199,17.89411,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
6,2011-12-12,167,167,14.6923,17.88517,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
7,2011-12-13,156,156,14.97089,18.11803,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
8,2011-12-14,131,131,15.18267,18.21793,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
9,2011-12-15,167,167,15.09574,18.39457,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
10,2011-12-16,154,154,15.17348,18.39509,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
11,2011-12-17,165,165,15.07908,18.52984,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
12,2011-12-18,167,167,15.15152,18.54803,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
13,2011-12-19,167,167,14.95639,18.31263,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
14,2011-12-20,142,142,14.61447,17.98158,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
15,2011-12-21,138,138,14.52541,17.72179,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
16,2011-12-22,154,154,14.52588,17.66595,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
17,2011-12-23,167,167,14.46315,17.79083,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
18,2011-12-24,167,167,14.81914,18.08121,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
19,2011-12-25,167,167,14.66711,17.86657,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
20,2011-12-26,168,168,14.72244,17.93393,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
21,2011-12-27,167,167,14.74928,18.03445,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
22,2011-12-28,167,167,14.89694,18.1283,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
23,2011-12-29,167,167,14.54161,17.81923,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
24,2011-12-30,167,167,14.26805,17.53768,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
25,2011-12-31,167,167,14.39385,17.41084,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
26,2012-01-01,168,168,14.27843,17.49824,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
27,2012-01-02,335,335,14.24561,17.48243,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
28,2012-01-03,169,169,14.11008,17.38643,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
29,2012-01-04,168,168,14.20757,17.41738,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
30,2012-01-05,116,116,14.01419,17.2497,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
31,2012-01-06,151,151,14.54903,17.76006,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
32,2012-01-07,168,168,14.71867,17.95988,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
33,2012-01-08,98,98,15.03979,18.14407,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
34,2012-01-09,168,168,14.87574,18.13787,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
35,2012-01-10,166,166,15.0702,18.2277,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
36,2012-01-11,146,146,14.63556,17.95504,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
37,2012-01-12,145,145,14.91015,18.07262,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
38,2012-01-13,134,134,14.61232,18.01204,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
39,2012-01-14,143,143,14.54437,18.05865,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
40,2012-01-15,167,167,14.82693,18.19905,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
41,2012-01-16,168,168,14.7237,18.18389,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
42,2012-01-17,135,135,14.74174,17.90709,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
43,2012-01-18,156,156,14.91738,18.03386,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
44,2012-01-19,136,136,14.87097,17.97376,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
45,2012-01-20,151,151,14.83177,18.23413,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
46,2012-01-21,167,167,14.7084,18.12969,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
47,2012-01-22,167,167,14.66441,17.97376,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
48,2012-01-23,167,167,44.93922,20.00163,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
49,2012-01-24,167,167,35.09645,18.36647,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
50,2012-01-25,141,141,16.58534,16.14767,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
51,2012-01-26,145,145,13.64779,16.35914,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
52,2012-01-27,166,166,30.84381,34.94222,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
53,2012-01-28,66,66,74.78085,57.49517,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
54,2012-01-29,45,45,19.33426,21.63962,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
55,2012-01-30,44,44,14.58176,19.20542,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
56,2012-01-31,36,36,13.72907,18.52504,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
57,2012-02-01,45,45,13.16155,17.84515,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
58,2012-02-02,45,45,12.51946,17.37936,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
59,2012-02-03,45,45,13.27999,18.31364,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
60,2012-02-04,45,45,13.77638,19.26012,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
61,2012-02-05,45,45,14.02211,19.3923,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
62,2012-02-06,46,46,13.79604,19.12871,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
63,2012-02-08,8,8,14.02869,19.42748,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
64,2012-02-09,44,44,13.8558,19.51234,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
65,2012-02-10,36,36,13.68935,19.23606,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
66,2012-02-11,43,43,14.00741,19.42139,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
67,2012-02-12,44,44,14.27919,19.45443,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
68,2012-02-13,39,39,13.7442,18.98788,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
69,2012-02-15,44,44,13.64791,18.64427,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
70,2012-02-16,46,46,12.77449,17.96996,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
71,2012-02-18,39,39,13.38068,18.82662,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
72,2012-02-19,44,44,13.73057,18.9581,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
73,2012-02-20,45,45,13.72336,18.75778,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
74,2012-02-21,45,45,13.89585,18.85137,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
75,2012-02-22,41,41,13.99523,18.85558,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
76,2012-02-23,45,45,13.89851,19.3642,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
77,2012-02-24,45,45,13.91021,19.38503,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
78,2012-02-25,45,45,14.13888,19.32124,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
79,2012-02-26,45,45,13.87443,19.31258,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
80,2012-02-27,45,45,13.9527,18.76105,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
81,2012-02-28,45,45,13.16433,17.36518,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
82,2012-02-29,45,45,12.94175,17.82243,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
83,2012-03-01,45,45,13.61313,18.23525,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
84,2012-03-02,45,45,13.53634,18.62136,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
85,2012-03-03,45,45,13.89015,18.69552,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
86,2012-03-04,45,45,13.5948,18.98925,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
87,2012-03-05,45,45,13.69065,18.69674,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
88,2012-03-06,46,46,13.54818,18.58537,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
89,2012-03-07,71,71,64.50238,76.67066,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
90,2012-03-08,87,87,408.18387,291.22973,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
91,2012-03-09,85,85,130.02781,91.45882,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
92,2012-03-10,47,47,34.88307,25.9479,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
93,2012-03-11,45,45,17.34579,16.73481,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
94,2012-03-12,45,45,12.70495,15.50114,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
95,2012-03-13,45,45,15.45503,17.84327,NASA_PDS_MSL-M-RAD-3-RDR-V1.0
