day,date,dose_mGy_day,H_mSv_day,source
0,2011-11-26,2.1352,5.8699,Zeitlin_2013_reconstructed
1,2011-11-27,2.0045,4.8421,Zeitlin_2013_reconstructed
2,2011-11-28,2.1627,5.5167,Zeitlin_2013_reconstructed
3,2011-11-29,2.3387,6.5011,Zeitlin_2013_reconstructed
4,2011-11-30,1.9806,4.9944,Zeitlin_2013_reconstructed
5,2011-12-01,1.9791,5.2886,Zeitlin_2013_reconstructed
6,2011-12-02,2.3449,6.3672,Zeitlin_2013_reconstructed
7,2011-12-03,2.1789,5.4318,Zeitlin_2013_reconstructed
8,2011-12-04,1.9271,5.0228,Zeitlin_2013_reconstructed
9,2011-12-05,2.1302,4.6661,Zeitlin_2013_reconstructed
10,2011-12-06,7.7018,28.6535,Zeitlin_2013_reconstructed
11,2011-12-07,7.6942,29.7894,Zeitlin_2013_reconstructed
12,2011-12-08,2.0648,5.0608,Zeitlin_2013_reconstructed
13,2011-12-09,1.6291,4.6061,Zeitlin_2013_reconstructed
14,2011-12-10,1.6657,4.0431,Zeitlin_2013_reconstructed
15,2011-12-11,1.8983,4.8533,Zeitlin_2013_reconstructed
16,2011-12-12,1.8064,4.7529,Zeitlin_2013_reconstructed
17,2011-12-13,2.0715,5.8055,Zeitlin_2013_reconstructed
18,2011-12-14,1.8247,4.4275,Zeitlin_2013_reconstructed
19,2011-12-15,1.7222,4.7638,Zeitlin_2013_reconstructed
20,2011-12-16,2.2976,6.0092,Zeitlin_2013_reconstructed
21,2011-12-17,1.9572,4.8652,Zeitlin_2013_reconstructed
22,2011-12-18,2.0144,5.3875,Zeitlin_2013_reconstructed
23,2011-12-19,1.7145,4.5265,Zeitlin_2013_reconstructed
24,2011-12-20,1.8891,4.7901,Zeitlin_2013_reconstructed
25,2011-12-21,2.0185,5.2949,Zeitlin_2013_reconstructed
26,2011-12-22,1.7652,4.5255,Zeitlin_2013_reconstructed
27,2011-12-23,2.0682,5.4371,Zeitlin_2013_reconstructed
28,2011-12-24,1.8721,5.056,Zeitlin_2013_reconstructed
29,2011-12-25,1.9322,5.4516,Zeitlin_2013_reconstructed
30,2011-12-26,1.8691,4.5836,Zeitlin_2013_reconstructed
31,2011-12-27,2.3553,6.8137,Zeitlin_2013_reconstructed
32,2011-12-28,1.983,4.6779,Zeitlin_2013_reconstructed
33,2011-12-29,1.7743,4.6031,Zeitlin_2013_reconstructed
34,2011-12-30,2.1458,5.7743,Zeitlin_2013_reconstructed
35,2011-12-31,1.7393,4.6106,Zeitlin_2013_reconstructed
36,2012-01-01,2.021,5.1187,Zeitlin_2013_reconstructed
37,2012-01-02,1.5905,4.1145,Zeitlin_2013_reconstructed
38,2012-01-03,1.7141,4.3704,Zeitlin_2013_reconstructed
39,2012-01-04,2.014,5.1097,Zeitlin_2013_reconstructed
40,2012-01-05,2.1193,5.7756,Zeitlin_2013_reconstructed
41,2012-01-06,2.0059,5.3372,Zeitlin_2013_reconstructed
42,2012-01-07,1.9478,4.9153,Zeitlin_2013_reconstructed
43,2012-01-08,1.9098,5.2169,Zeitlin_2013_reconstructed
44,2012-01-09,1.6766,4.4503,Zeitlin_2013_reconstructed
45,2012-01-10,1.8245,4.9633,Zeitlin_2013_reconstructed
46,2012-01-11,1.874,5.0531,Zeitlin_2013_reconstructed
47,2012-01-12,2.1705,5.4388,Zeitlin_2013_reconstructed
48,2012-01-13,2.0289,5.1552,Zeitlin_2013_reconstructed
49,2012-01-14,1.6144,4.378,Zeitlin_2013_reconstructed
50,2012-01-15,2.0219,5.4469,Zeitlin_2013_reconstructed
51,2012-01-16,1.8816,4.9135,Zeitlin_2013_reconstructed
52,2012-01-17,1.8231,4.7937,Zeitlin_2013_reconstructed
53,2012-01-18,2.0734,5.7664,Zeitlin_2013_reconstructed
54,2012-01-19,2.1537,5.4635,Zeitlin_2013_reconstructed
55,2012-01-20,2.1326,5.7273,Zeitlin_2013_reconstructed
56,2012-01-21,1.7858,4.621,Zeitlin_2013_reconstructed
57,2012-01-22,1.8876,4.8808,Zeitlin_2013_reconstructed
58,2012-01-23,2.0108,5.5453,Zeitlin_2013_reconstructed
59,2012-01-24,2.1345,5.8103,Zeitlin_2013_reconstructed
60,2012-01-25,1.8502,5.0334,Zeitlin_2013_reconstructed
61,2012-01-26,1.9057,5.307,Zeitlin_2013_reconstructed
62,2012-01-27,1.7256,4.5157,Zeitlin_2013_reconstructed
