output,param,variance_fraction,scenario
D_mGy,phi_scale,0.593115593176624,paper1_baseline
D_mGy,LIS_norm,0.16083540851138575,paper1_baseline
D_mGy,cross_sec,0.03586530328687538,paper1_baseline
D_mGy,neutron_H,0.022914098833717946,paper1_baseline
D_mGy,hze_norm_scale,0.08948709005979764,paper1_baseline
D_mGy,Q_factor,2.4154683371687833e-05,paper1_baseline
D_mGy,DDREF,0.0004819127718022521,paper1_baseline
D_mGy,ERR_scale,0.07351142402459701,paper1_baseline
D_mGy,EAR_scale,0.023765014651828363,paper1_baseline
H_mSv,phi_scale,0.04019275756351052,paper1_baseline
H_mSv,LIS_norm,0.051940617045863696,paper1_baseline
H_mSv,cross_sec,6.139182461667104e-05,paper1_baseline
H_mSv,neutron_H,0.05413726063063561,paper1_baseline
H_mSv,hze_norm_scale,0.1054000144485485,paper1_baseline
H_mSv,Q_factor,0.7088855091793254,paper1_baseline
H_mSv,DDREF,0.004189498806544091,paper1_baseline
H_mSv,ERR_scale,0.01009947738613572,paper1_baseline
H_mSv,EAR_scale,0.025093473114819836,paper1_baseline
REID,phi_scale,0.04401347352623424,paper1_baseline
REID,LIS_norm,0.03899946718627996,paper1_baseline
REID,cross_sec,0.0038306900361445317,paper1_baseline
REID,neutron_H,0.01866014101162253,paper1_baseline
REID,hze_norm_scale,0.08720013870107556,paper1_baseline
REID,Q_factor,0.6349631316454888,paper1_baseline
REID,DDREF,0.03618787511192245,paper1_baseline
REID,ERR_scale,0.02475757885850675,paper1_baseline
REID,EAR_scale,0.11138750392272515,paper1_baseline
D_mGy,phi_scale,0.593115593176624,widened_DDREF_uniform_1_3
D_mGy,LIS_norm,0.16083540851138575,widened_DDREF_uniform_1_3
D_mGy,cross_sec,0.03586530328687538,widened_DDREF_uniform_1_3
D_mGy,neutron_H,0.022914098833717946,widened_DDREF_uniform_1_3
D_mGy,hze_norm_scale,0.08948709005979764,widened_DDREF_uniform_1_3
D_mGy,Q_factor,2.4154683371687833e-05,widened_DDREF_uniform_1_3
D_mGy,DDREF,0.0004819127718022521,widened_DDREF_uniform_1_3
D_mGy,ERR_scale,0.07351142402459701,widened_DDREF_uniform_1_3
D_mGy,EAR_scale,0.023765014651828363,widened_DDREF_uniform_1_3
H_mSv,phi_scale,0.04019275756351052,widened_DDREF_uniform_1_3
H_mSv,LIS_norm,0.051940617045863696,widened_DDREF_uniform_1_3
H_mSv,cross_sec,6.139182461667104e-05,widened_DDREF_uniform_1_3
H_mSv,neutron_H,0.05413726063063561,widened_DDREF_uniform_1_3
H_mSv,hze_norm_scale,0.1054000144485485,widened_DDREF_uniform_1_3
H_mSv,Q_factor,0.7088855091793254,widened_DDREF_uniform_1_3
H_mSv,DDREF,0.004189498806544091,widened_DDREF_uniform_1_3
H_mSv,ERR_scale,0.01009947738613572,widened_DDREF_uniform_1_3
H_mSv,EAR_scale,0.025093473114819836,widened_DDREF_uniform_1_3
REID,phi_scale,0.04375720528933891,widened_DDREF_uniform_1_3
REID,LIS_norm,0.039993465366588016,widened_DDREF_uniform_1_3
REID,cross_sec,0.0036568702297828984,widened_DDREF_uniform_1_3
REID,neutron_H,0.013975642531178072,widened_DDREF_uniform_1_3
REID,hze_norm_scale,0.078044183059108,widened_DDREF_uniform_1_3
REID,Q_factor,0.6258024584962277,widened_DDREF_uniform_1_3
REID,DDREF,0.0789988430913227,widened_DDREF_uniform_1_3
REID,ERR_scale,0.015168039026734257,widened_DDREF_uniform_1_3
REID,EAR_scale,0.10060329290971966,widened_DDREF_uniform_1_3
